Brand_URL,Brand_Name,Brand_Rating,Brand_Summary
https://directory.goodonyou.eco/brand/pop-my-way,Pop My Way,Overall rating: Great,"Pop My Way is a GOTS certified brand that features mix and match baby essentials that are designed to ""pop"" onto the garment."
https://directory.goodonyou.eco/brand/conscious-step,Conscious Step,Overall rating: Good,Conscious Step is an American brand that believes in creating clothing that makes you feel good about what you wear.
https://directory.goodonyou.eco/brand/tonle,tonlé,Overall rating: Great,tonlé provides environmentally-friendly women's clothing that engage in a zero-waste design process
https://directory.goodonyou.eco/brand/loop-swim,Loop Swim,Overall rating: Great,"Loop Swim is a clothing brand that transforms post-consumer use plastic into phenomenal sun protective swimwear for women, men, and kids."
https://directory.goodonyou.eco/brand/jackfruit-the-label,Jackfruit the Label,Overall rating: Good,"Jackfruit the Label is an Australian brand that houses slow and ethical underwear that is comfortable, long lasting, and earth friendly, using bamboo and organic cotton."
https://directory.goodonyou.eco/brand/noah,NOAH,Overall rating: Good,NOAH is a vegan footwear brand made in Italy and cruelty-free.
https://directory.goodonyou.eco/brand/malaika-new-york,Malaika New York,Overall rating: Good,Malaika New York houses an excellent collection of eco-friendly clothing for women at the best quality and price.
https://directory.goodonyou.eco/brand/chic-made-consciously,Chic Made Consciously,Overall rating: Good,An accessory line designed to make you stand out from the crowd with a positive impact.
https://directory.goodonyou.eco/brand/outland-denim,Outland Denim,Overall rating: Great,Outland Denim is a premium denim label that creates pieces made from organic materials.
https://directory.goodonyou.eco/brand/nae,nae,Overall rating: Good,"nae is a Portuguese brand that creates vegan shoes, bags and accessories from organic and recycled materials."
https://directory.goodonyou.eco/brand/unspun,unspun,Overall rating: Great,unspun is creating a denim world that reduces global carbon emissions by 1% through a zero-inventory and low waste process.
https://directory.goodonyou.eco/brand/milavert,Mila.Vert,Overall rating: Great,"Mila.Vert offers timeless, minimal and chic clothing, adding sophisticated details that give the garments a modern feel."
https://directory.goodonyou.eco/brand/birdsong,Birdsong,Overall rating: Good,Birdsong is a UK based brand that believes in ethical craftsmanship.
